Source,Protein,UniProt,Species,Domain Start,Domain Stop,Length (aa),Class,Class (new),Mods,Evidence,,,
https://pubmed.ncbi.nlm.nih.gov/20080676/,UBR2,Q8IWV8,Human,1095,1225,131,UBL,E3 UBL,E3 H2Aub,Predicted,Full length in vitro,,
https://www.sciencedirect.com/science/article/pii/S0014482705001655?via%3Dihub,TRIM37,O94972,Human,1,252,252,UBL,E3 UBL,E3 H2AK119Ub,In vitro,,,
https://www.nature.com/articles/ncomms4291?origin=ppub,RNF168,Q8IYW5,Human,1,189,189,UBL,E3 UBL,E3 H2Aub,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S0006291X04025355?via%3Dihub,HUWE1,Q7Z6Z7,Human,4038,4374,337,UBL,E3 UBL,E3 Hub,In vitro/in vivo,"Not same protein length, so took HECT domain annotation on Uniprot",,
https://www.jbc.org/article/S0021-9258(20)43399-X/fulltext,RNF8,O76064,Human,345,485,141,UBL,E3 UBL,E3 H2Aub,In vitro,,,
https://www.cell.com/molecular-cell/fulltext/S1097-2765(06)00230-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276506002309%3Fshowall%3Dtrue,RBX1,P62877,Human,1,108,108,UBL,E3 UBL,E3 H3H4ub,In vitro/in vivo,with complex,,
https://www.tandfonline.com/doi/pdf/10.4161/cc.7.11.5962?needAccess=true,USP22,Q9UPT9,Human,1,525,525,DUB,DUB,H2A/Bdub,In vitro,,,
https://www.cell.com/current-biology/fulltext/S0960-9822(07)02096-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982207020969%3Fshowall%3Dtrue,USP3,Q9Y6I4,Human,1,520,520,DUB,DUB,H2A/Bdub,In vivo,,,
https://www.nature.com/articles/nature06256,USP16,Q9Y5T5,Human,1,823,823,DUB,DUB,H2Adub,In vitro,,,
https://www.cell.com/molecular-cell/fulltext/S1097-2765(07)00516-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276507005163%3Fshowall%3Dtrue,MYSM1,Q5VVJ2,Human,1,828,828,DUB,DUB,H2Adub,In vitro,,,
http://genesdev.cshlp.org/content/22/1/37.long#sec-8,USP21,Q9UK80,Human,1,565,565,DUB,DUB,H2Adub,In vitro,Domain transferred from mouse,,
https://www.nature.com/articles/nature08966,BAP1,Q92560,Human,1,729,729,DUB,DUB,H2Adub,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S0006291X1732507X?via%3Dihub,USP36,Q9P275,Human,1,800,800,DUB,DUB,H2Bdub,In vitro,,,
https://www.nature.com/articles/nbt.2726,TET1,Q8NFU7,Human,1419,2136,718,deMTase,DNDM,5mC->5hm/f/caC,In vitro/In vivo,https://www.science.org/doi/10.1126/science.1170116?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,
https://www.science.org/doi/10.1126/science.1210944,TET2,Q6N021,Human,1130,2002,873,deMTase,DNDM,5mC->5hm/f/caC,"Predicted, In vitro ","Domain not given, but transfered from TET1 CD",,
https://www.science.org/doi/10.1126/science.1210944,TET3,O43151,Human,825,1795,971,deMTase,DNDM,5mC->5hm/f/caC,In vitro ,Domain transferred from mouse,,
https://www.jbc.org/article/S0021-9258(20)73738-5/fulltext,TDG,Q13569,Human,1,410,410,deMTase,DNDM,5fC/5caC excision,In vitro ,,,
https://www.science.org/doi/10.1126/science.1145801,JMJD6,Q6NYC1,Human,1,403,403,deMTase,HDM,"H3R2, H4R3 deMe",In vitro/In vivo,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM2A,Q9Y2K7,Human,1,517,517,deMTase,HDM,H3K36 deMe,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM3A,Q9Y4C1,Human,515,1317,803,deMTase,HDM,H3K9 deMe,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM4A,O75164,Human,1,359,359,deMTase,HDM,"H3K9,27,36 deMe",In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM4B,O94953,Human,1,365,365,deMTase,HDM,"H3K9,27,36 deMe",In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM4C,Q9H3R0,Human,1,366,366,deMTase,HDM,"H3K9,27,36 deMe",In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM4D,Q6B0I6,Human,1,358,358,deMTase,HDM,"H3K9,27,36 deMe",In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM4E,B2RXH2,Human,1,337,337,deMTase,HDM,"H3K9,27 deMe",In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM5C,P41229,Human,1,765,765,deMTase,HDM,H3K4 deMe,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM6A,O15550,Human,940,1401,462,deMTase,HDM,H3K27 deMe,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM6B,O15054,Human,1141,1590,450,deMTase,HDM,H3K27 deMe,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623018/,KDM7A,Q6ZMT4,Human,38,480,443,deMTase,HDM,"H3K9,27 deMe",In vitro,,,
https://www.jbc.org/article/S0021-9258(20)58943-6/fulltext,KDM1A,O60341,Human,185,852,668,deMTase,HDM,H3K4 deMe,In vitro,,,
https://www.cell.com/molecular-cell/fulltext/S1097-2765(10)00530-7?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276510005307%3Fshowall%3Dtrue,KDM1B,Q8NB78,Human,1,822,822,deMTase,HDM,H3K4 deMe,In vitro,,,
https://www.nature.com/articles/nature04433#MOESM1,KDM2B,Q8NHM5,Human,1,573,573,deMTase,HDM,H3K36 deMe,"Predicted, In vitro","Domain and data not shown for 2B, only 2A, aligned and copied domain bounds",,
https://www.cell.com/cell/fulltext/S0092-8674(06)00385-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867406003850%3Fshowall%3Dtrue,KDM3B,Q7LBC6,Human,883,1757,875,deMTase,HDM,H3K9 deMe,"Predicted, Association",Domain bounds copied from 3A,,
https://www.cell.com/cell/fulltext/S0092-8674(07)00182-1?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867407001821%3Fshowall%3Dtrue,KDM5A,P29375,Human,1,734,734,deMTase,HDM,H3K4 deMe,"Predicted, In vivo",Domain bounds copied from 5C,,
https://www.cell.com/molecular-cell/fulltext/S1097-2765(07)00146-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276507001463%3Fshowall%3Dtrue,KDM5B,Q9UGL1,Human,1,752,752,deMTase,HDM,H3K4 deMe,In vitro,,,
https://www.cell.com/cell/fulltext/S0092-8674(07)00200-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867407002000%3Fshowall%3Dtrue,KDM5D,Q9BY66,Human,1,755,755,deMTase,HDM,H3K4 deMe,"Predicted, In vitro","Only tested full length, but domain bounds copied from 5C",,
https://www.pnas.org/doi/full/10.1073/pnas.1706831114,KDM8,Q8N371,Human,1,416,416,deMTase,HDM,HR/Kme tail cleavage,In vitro,,,
https://www.pnas.org/doi/full/10.1073/pnas.1706831114,JMJD7,P0C870,Human,1,316,316,deMTase,HDM,HR/Kme tail cleavage,In vitro,,,
https://faseb.onlinelibrary.wiley.com/doi/epdf/10.1096/fj.13-237677,HR,O43593,Human,580,1189,610,deMTase,HDM,H3K9 deMe,"Predicted, In vitro","Bounds not given, drawn manually to contain zf domain and jmjc domain",,
,JMJD1C,Q15652,Human,1826,2540,715,deMTase,HDM,H3K9 deMe,"Predicted, Domain analysis",Bounds drawn manually to contain zf domain and jmjc domain,,
https://academic.oup.com/hmg/article/19/2/217/583867?login=false,PHF8,Q9UPP1,Human,79,447,369,deMTase,HDM,"H3K9,27,36 deMe",In vitro,,,
https://pubmed.ncbi.nlm.nih.gov/21532585/,PHF2,O75151,Human,43,413,371,deMTase,HDM,H3K9 deMe,"Predicted, In vitro","Only full length and required phosphorylation, bounds copied from PHF8",,
https://www.embopress.org/doi/full/10.1038/emboj.2009.332,RIOX1,Q9H6W3,Human,1,641,641,deMTase,HDM,"H3K4,36 deMe",In vitro,,,
https://www.tandfonline.com/doi/pdf/10.4161/cc.8.13.8927?needAccess=true,RIOX2,Q8IUF8,Human,1,465,465,deMTase,HDM,H3K9 deMe,In vivo,,,
https://www.jbc.org/article/S0021-9258(20)40539-3/fulltext,UTY,O14607,Human,818,1347,530,deMTase,HDM,H3K27 deMe,In vitro,,,
https://www.tandfonline.com/doi/full/10.1080/15548627.2015.1060386,PPP1CA,P62136,Human,1,330,330,HP,HP,"H3T3,S10,T11,S28 dePh",In vitro (not histones),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,,
https://www.tandfonline.com/doi/full/10.1080/15548627.2015.1060386,PPP1CB,P62140,Human,1,327,327,HP,HP,"H3T3,S10,T11,S28 dePh",In vitro (not histones),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,,
https://www.tandfonline.com/doi/full/10.1080/15548627.2015.1060386,PPP1CC,P36873,Human,1,323,323,HP,HP,"H3T3,S10,T11,S28 dePh",In vitro (not histones),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,,
https://www.tandfonline.com/doi/full/10.1080/15548627.2015.1060386,PPP2CA,P67775,Human,1,309,309,HP,HP,H2AXS139 dePh,In vitro (not histones),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,,
https://www.tandfonline.com/doi/full/10.1080/15548627.2015.1060386,PPP2CB,P62714,Human,1,309,309,HP,HP,H2AXS139 dePh,In vitro (not histones),ƒ,,
https://www.cell.com/molecular-cell/fulltext/S1097-2765(08)00394-8?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276508003948%3Fshowall%3Dtrue,PPP4C,P60510,Human,1,307,307,HP,HP,H2AXS139 dePh,"In vitro, in vivo",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,,
https://journals.asm.org/doi/10.1128/MCB.00741-09,PPP6C,O00743,Human,1,305,305,HP,HP,H2AXS139 dePh,"In vitro, in vivo",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,,
http://genesdev.cshlp.org/content/19/10/1162.full.pdf+html,PPM1D,O15297,Human,1,395,395,HP,HP,H2AXS139 dePh,In vitro (not histones),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,Took +20 aas of delta C figure 1C,
https://www.nature.com/articles/nature07849,EYA1,Q99502,Human,259,592,334,HP,HP,H2AXY142 dePh,"In vitro, in vivo",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,https://www.nature.com/articles/nature07849,Domain copied from EYA3
https://www.jbc.org/article/S0021-9258(18)93033-4/fulltext,EYA2,O00167,Human,268,538,271,HP,HP,H2AXY142 dePh,In vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,,
https://www.nature.com/articles/nature07849,EYA3,Q99504,Human,240,573,334,HP,HP,H2AXY142 dePh,"In vitro, in vivo",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6227384/,https://www.nature.com/articles/nature07849,
https://www.jbc.org/article/S0021-9258(19)37319-3/fulltext,HDAC1,Q13547,Human,1,482,482,HDAC,HDAC,HDAC,In vitro,,,
https://www.jbc.org/article/S0021-9258(20)87997-6/fulltext,HDAC10,Q969S8,Human,1,669,669,HDAC,HDAC,HDAC,"In vitro, in vivo",,,
https://www.jbc.org/article/S0021-9258(19)66545-2/fulltext,HDAC11,Q96DB2,Human,1,347,347,HDAC,HDAC,HDAC,In vitro,,,
https://www.nature.com/articles/cr201768,HDAC2,Q92769,Human,1,488,488,HDAC,HDAC,HDAC,In vivo,,,
https://www.nature.com/articles/cr201768,HDAC3,O15379,Human,1,428,428,HDAC,HDAC,HDAC,In vivo,,,
https://journals.asm.org/doi/10.1128/MCB.19.11.7816?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,HDAC4,P56524,Human,627,1084,458,HDAC,HDAC,HDAC,In vitro,,,
https://www.jbc.org/article/S0021-9258(19)80555-0/fulltext,HDAC5,Q9UQL6,Human,647,1122,476,HDAC,HDAC,HDAC,In vivo ,,,
https://www.pnas.org/doi/full/10.1073/pnas.96.9.4868,HDAC6-1,Q9UBN7,Human,1,460,460,HDAC,HDAC,HDAC,"Predicted, In vitro (no truncations, but two active site mutants, manually drew bounds)",,,
https://www.pnas.org/doi/full/10.1073/pnas.96.9.4868,HDAC6-2,Q9UBN7,Human,461,900,440,HDAC,HDAC,HDAC,"Predicted, In vitro (no truncations, but two active site mutants, manually drew bounds)",,,
https://www.jbc.org/article/S0021-9258(19)58851-2/fulltext,HDAC7,Q8WUI4,Human,448,952,505,HDAC,HDAC,HDAC,In vitro (protein sequence not identical but found beginnning and end of domain),,,
https://www.nature.com/articles/cr201768,HDAC8,Q9BY41,Human,1,377,377,HDAC,HDAC,HDAC,In vivo,,,
https://www.pnas.org/doi/10.1073/pnas.191375098?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,HDAC9,Q9UKV0,Human,606,1011,406,HDAC,HDAC,HDAC,"Predicted, In vitro (only tested full length, took bounds from HDAC4)",,,
https://www.cell.com/molecular-cell/fulltext/S1097-2765(04)00518-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276504005180%3Fshowall%3Dtrue,SIRT1,Q96EB6,Human,1,747,747,HDAC,HDAC,HDAC,In vitro,,,
http://genesdev.cshlp.org/content/20/10/1256.full.pdf+html,SIRT2,Q8IXJ6,Human,1,389,389,HDAC,HDAC,HDAC,"In vitro, in vivo",,,
https://www.tandfonline.com/doi/pdf/10.4161/cc.8.16.9367?needAccess=true,SIRT6,Q8N6T7,Human,1,355,355,HDAC,HDAC,HDAC,"In vitro, in vivo",,,
https://www.nature.com/articles/nature11043,SIRT7,Q9NRC8,Human,1,400,400,HDAC,HDAC,HDAC,"In vitro, in vivo",,,
https://www.nature.com/articles/35012097,ATF2,P15336,Human,112,350,239,HAT,HAT,"H2Bac, H4ac",In Vitro,,,
https://www.nature.com/articles/1202003,BRCA2,P51587,Human,1,500,414,HAT,HAT,"H3ac, H4ac",In Vitro,deleted exon 3 (19-104),,
https://www.pnas.org/content/99/13/8707.long,CDY1,Q9Y6F8,Human,1,540,540,HAT,HAT,H4ac,In Vitro,name changed from CDY1; CDY1B,,
https://www.sciencedirect.com/science/article/pii/S0092867406004442,CLOCK,O15516,Human,243,846,604,HAT,HAT,"H3ac, H4ac",In Vitro,Annotation transferred from mouse,,
https://www.pnas.org/content/111/12/E1072/tab-figures-data,CREBBP,Q92793,Human,1319,1710,392,HAT,HAT,H3K56ac,In Vitro,,,
https://www.sciencedirect.com/science/article/pii/S0092867400820012?via%3Dihub,EP300,Q09472,Human,1195,1673,479,HAT,HAT,Hac,In Vitro,,,
https://journals.asm.org/doi/10.1128/MCB.19.11.7697?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,GTF3C4,Q9UKN8,Human,1,822,822,HAT,HAT,H3ac,In Vitro,Only tested full length,,
https://journals.asm.org/doi/10.1128/MCB.19.2.1605,GTF3C2,Q8WUA4,Human,561,911,351,HAT,HAT,"H3ac, H4ac",In Vitro,,,
https://www.biorxiv.org/content/10.1101/513127v1.full.pdf+html,GTF3C1,Q12789,Human,805,1039,235,HAT,HAT,H3K18ac,In Vitro,,,
https://journals.asm.org/doi/10.1128/MCB.01599-08?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,KAT14,Q9H8E8,Human,460,782,323,HAT,HAT,H4ac,In Vitro,Only tested full length,Took 460-782,
https://www.nature.com/articles/382319a0.pdf,KAT2A,Q92830,Human,362,837,476,HAT,HAT,"H3ac, H4ac",In Vitro,,,
https://www.nature.com/articles/382319a0.pdf,KAT2B,Q92831,Human,352,832,481,HAT,HAT,"H3ac, H4ac",In Vitro,"Tested full length, but taking domain with hGCN5 homology",,
https://journals.asm.org/doi/10.1128/MCB.24.5.1884-1896.2004?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,KAT5,Q92993,Human,1,513,513,HAT,HAT,"H4ac, H2Bac",In Vitro,"Has to form complex, doesn't work in isolation",,
https://www.nature.com/articles/1204114,KAT6A,Q92794,Human,510,810,301,HAT,HAT,Hac,In Vitro,,,
https://www.sciencedirect.com/science/article/pii/S0021925819520804?via%3Dihub#bib32,KAT6B,Q8WYB5,Human,718,1008,291,HAT,HAT,"H3ac, H4ac",In Vitro,,,
https://academic.oup.com/nar/article/49/14/8037/6321019,KAT7,O95251,Human,200,611,412,HAT,HAT,"H3K14ac, Hac",In Vitro,Scaffolding proteins determine specificity and required for function,Took 200-611,
https://www.sciencedirect.com/science/article/pii/S0167478199002110?via%3Dihub,KAT8,Q9H7Z6,Human,125,458,334,HAT,HAT,Hac,In Vitro,,,
https://www.nature.com/articles/ncomms2823,MCM3AP,O60318,Human,1656,1791,136,HAT,HAT,"H1ac, H3ac",In Vitro,,,
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0024713,NAA40,Q86UY6,Human,1,237,237,HAT,HAT,"H2Aac, H4ac",In Vitro,,,
https://www.sciencedirect.com/science/article/pii/S0021925820380145?via%3Dihub,NAA50,Q9GZZ1,Human,1,169,169,HAT,HAT,H4ac,In Vitro,,,
https://www.sciencedirect.com/science/article/pii/S1097276511006836?via%3Dihub,NAA60,Q9H7X0,Human,1,242,242,HAT,HAT,H4ac,in Vitro,"Only active on free histones, not nucleosomes",,
https://www.nature.com/articles/38304,NCOA1,Q15788,Human,1107,1441,335,HAT,HAT,"H3ac, H4ac",in Vitro,,,
https://www.sciencedirect.com/science/article/pii/S0092867400805164?via%3Dihub,NCOA3,Q9Y6Q9,Human,1092,1304,213,HAT,HAT,"H2Bac, H3ac, H4ac",In Vitro,Adding 12aa on C side due to sequence length discrepancy ,,
https://journals.asm.org/doi/10.1128/MCB.25.10.4321-4332.2005?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,TAF1,P21675,Human,517,976,460,HAT,HAT,H3ac,In Vitro,"Only tested full length with deletions, but give boundaries of HAT domain as 517 976",,
https://reader.elsevier.com/reader/sd/pii/S030441651500152X?token=8D2B584F35BD8AF6DB744CF6DAD72E1A62D06B5E3FA9F3003AD22ECCB1651716EF6603F1FAC95CEB0A6F3649BEF92649&originRegion=us-east-1&originCreation=20220120001331,ASH1L,Q9NR48,Human,2046,2330,285,SET,HKMT,"H3K36me, H3K9me","In vitro, In vivo",,,
http://genesdev.cshlp.org/content/19/7/815.full.pdf+html,EHMT1,Q9H9B1,Human,1002,1296,295,SET,HKMT,H3K9me,In vitro,Domain transferred from mouse,,
http://genesdev.cshlp.org/content/19/7/815.full.pdf+html,EHMT2,Q96KQ7,Human,878,1172,295,SET,HKMT,H3K9me,In vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3549875/,Domain transferred from mouse,
https://www.jbc.org/article/S0021-9258(19)46775-6/fulltext,KMT2A,Q03164,Human,3745,3969,225,SET,HKMT,H3K4me1/2/3,In vitro ,,,
https://www.jbc.org/article/S0021-9258(19)46775-6/fulltext,KMT2B,Q9UMN6,Human,2490,2715,226,SET,HKMT,H3K4me1/2,In vitro ,,,
https://www.jbc.org/article/S0021-9258(19)46775-6/fulltext,KMT2C,Q8NEZ4,Human,4689,4911,223,SET,HKMT,H3K4me1/2,In vitro ,,,
https://www.jbc.org/article/S0021-9258(19)46775-6/fulltext,KMT2D,O14686,Human,5319,5537,219,SET,HKMT,H3K4me1/2/3,In vitro ,,,
https://pubmed.ncbi.nlm.nih.gov/27812132/,KMT2E,Q8IZD2,Human,245,471,227,SET,HKMT,N/R,"In vitro, Crystal",predicted domain bounds from KMT2A,Maybe another control,
https://www.sciencedirect.com/science/article/pii/S0021925820794238?via%3Dihub,KMT5A,Q9NQR1,Human,236,393,158,SET,HKMT,H4K20me,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S0022283616300742?via%3Dihub,KMT5B,Q4FZB7,Human,1,382,382,SET,HKMT,H4K20me,In vitro,Domain transferred from mouse,,
https://www.sciencedirect.com/science/article/pii/S0022283616300742?via%3Dihub,KMT5C,Q86Y97,Human,1,281,281,SET,HKMT,H4K20me,In vitro,Domain transferred from mouse,,
https://www.sciencedirect.com/science/article/pii/S1046592819302712?casa_token=cQFHgaKBokoAAAAA:2L0uJzAcXtR5kQPx6SBsrogTIIsss6SU6Lo8N_KSQJ0-ey2XXOozJd68L1tSnTshta0gDzH3,NSD1,Q96L73,Human,1826,2115,290,SET,HKMT,H3K36me,In vitro ,,,
https://www.sciencedirect.com/science/article/pii/S1046592819302712?casa_token=cQFHgaKBokoAAAAA:2L0uJzAcXtR5kQPx6SBsrogTIIsss6SU6Lo8N_KSQJ0-ey2XXOozJd68L1tSnTshta0gDzH3,NSD2,O96028,Human,949,1239,291,SET,HKMT,H3K36me,In vitro ,,,
https://www.sciencedirect.com/science/article/pii/S1046592819302712?casa_token=cQFHgaKBokoAAAAA:2L0uJzAcXtR5kQPx6SBsrogTIIsss6SU6Lo8N_KSQJ0-ey2XXOozJd68L1tSnTshta0gDzH3,NSD3,Q9BZ95,Human,1029,1318,290,SET,HKMT,"H3K27me, H3K36me",In vitro ,,,
https://cancerres.aacrjournals.org/content/63/22/7619.long,PRDM2,Q13029,Human,1,200,200,SET,HKMT,H3K9me1,In vitro ,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919437/,PRDM7,Q9NQW5,Human,195,392,198,SET,HKMT,H3K4me3,In vitro ,,,
https://portlandpress.com/biochemj/article/461/2/323/46928/Characterization-of-the-histone-methyltransferase,PRDM9,Q9NQV7,Human,192,377,186,SET,HKMT,H3K4me1/2/3,In vitro ,Domain transferred from mouse,,
https://www.jbc.org/article/S0021-9258(19)46775-6/fulltext,SETD1A,O15047,Human,1474,1707,234,SET,HKMT,H3K4me1/2/3,In vitro ,,,
https://www.jbc.org/article/S0021-9258(19)46775-6/fulltext,SETD1B,Q9UPS6,Human,1727,1966,240,SET,HKMT,H3K4me1/2/3,In vitro ,Domain transfered from old version of sequence to newest,,
https://www.sciencedirect.com/science/article/pii/S0021925819481982?via%3Dihub,SETD2,Q9BYW2,Human,915,1211,297,SET,HKMT,H3K36me,In vitro ,,,
https://www.jbc.org/article/S0021-9258(20)73855-X/fulltext,SETD3,Q86TU7,Human,1,327,327,SET,HKMT,"H3K4me, H3K36me","In vitro, In vivo",Domain transferred from mouse,,
https://www.sciencedirect.com/science/article/pii/S1097276501004051?via%3Dihub,SETD7,Q8WTS6,Human,52,366,315,SET,HKMT,H3K9me,In vitro,,,
https://www.jbc.org/article/S0021-9258(19)76230-9/fulltext,SMYD1,Q8NB12,Human,1,294,294,SET,HKMT,H3K4me,In vitro,,,
https://www.mcponline.org/article/S1535-9476(20)31215-9/fulltext,SMYD2,Q9NRG4,Human,1,433,393,SET,HKMT,"H3K4me, H3K36me",In vitro,Deleted MYND aa 51-90,,
https://www.sciencedirect.com/science/article/pii/S0021925818497001?via%3Dihub,SMYD3,Q9H7B4,Human,1,428,428,SET,HKMT,H3K9me,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S1097276512006478?via%3Dihub,SMYD5,Q6GMV2,Human,1,418,418,SET,HKMT,H4K20me3,In vitro,Domain transferred from mouse,,
https://www.sciencedirect.com/science/article/pii/S0021925819481982?via%3Dihub,SUV39H1,O43463,Human,82,412,331,SET,HKMT,H3K9me?,In vitro ,,,
https://www.sciencedirect.com/science/article/pii/S1874939914002879,SUV39H2,Q9H5I1,Human,112,410,299,SET,HKMT,H3K9me1/2,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC522266/,PRMT5,O14744,Human,1,637,637,HMTase,HRMT,"H3R8me, H4R3me",In vitro,,,
https://reader.elsevier.com/reader/sd/pii/S0960982201002949?token=0106527DC85BF7FBE7C8C247E90873A925588B0BA39D8A6C376D766A1891BAADF6A70217BB496B90EF1F8D88DC854F83&originRegion=us-east-1&originCreation=20220124213520,PRMT1,Q99873,Human,1,371,371,HMTase,HRMT,H4R3me,In vitro,,,
